noun,verb,metric,mean
roudou (labor),X wo maku (Y scatters X),comprehensibility,1.1000000000000000
iwa (rock),X ga huttou-suru (X boils),novelty,3.8000000000000000
abura (oil),X ni sizumu (Y sinks into X),comprehensibility,2.8000000000000000
ai (love),X ga ahureru (X overflows),metaphoricity,1.6000000000000000
keeki (cake),X wo abiseru (Y showers X),metaphoricity,0.80000000000000000000
ansin (relief),X wo kumitoru (Y scoops up X),novelty,3.2000000000000000
oto (sound),X wo siboridasu (Y squeezes X),comprehensibility,2.6000000000000000
iwa (rock),X ga moreru (X leaks),metaphoricity,2.5000000000000000
doro (mud),X wo makitirasu (Y sprinkles X),comprehensibility,3.7000000000000000
kairaku (pleasure),X ga nagareru (X flows),metaphoricity,2.5000000000000000
yuuki (bravery),X ga waku (X gushes out),novelty,0.10000000000000000000
abura (oil),X ga yodomu (X gets stagnant),comprehensibility,3.1000000000000000
kanjou (emotion),X wo nomu (Y drinks X),comprehensibility,2.4000000000000000
koe (voice),X wo maku (Y scatters X),comprehensibility,1.1000000000000000
syutisin (shame),X ga nagareru (X flows),metaphoricity,1.5000000000000000
suna (sand),X ga simiru (X soaks into Y),novelty,3.5000000000000000
kanasimi (sorrow),X ga koboreru (X spills out),novelty,1.9000000000000000
ikari (anger),X ni hitasu (Y dips Z in X),comprehensibility,0.40000000000000000000
ari (ant),X ga mitiru (X fills Y),metaphoricity,2.1000000000000000
nioi (smell),X ni tukaru (Y gets submerged in X),novelty,2.8000000000000000
nioi (smell),X ga sumu (X gets clear),metaphoricity,2.2000000000000000
sitto (envy),X wo tarasu (Y drops X),metaphoricity,2.0000000000000000
rikai (understanding),X ga mitiru (X fills Y),novelty,3.1000000000000000
jouhou (information),X ni oboreru (Y almost drowns in X),metaphoricity,3.0000000000000000
yorokobi (delight),X ga moreru (X leaks),comprehensibility,1.7000000000000000
kimoti (feeling),X ga huttou-suru (X boils),comprehensibility,3.0000000000000000
human (complaint),X wo maku (Y scatters X),novelty,1.9000000000000000
syutisin (shame),X wo nomu (Y drinks X),novelty,2.7000000000000000
tanosisa (enjoyment),X wo sosogu (Y pours X),comprehensibility,2.0000000000000000
hikari (light),X wo abiseru (Y showers X),metaphoricity,0.90000000000000000000
