noun,verb,metric,mean
労働,Xを撒く,comprehensibility,1.1000000000000000
岩,Xが沸騰する,novelty,3.8000000000000000
油,Xに沈む,comprehensibility,2.8000000000000000
愛,Xが溢れる,metaphoricity,1.6000000000000000
ケーキ,Xを浴びせる,metaphoricity,0.80000000000000000000
安心,Xを汲み取る,novelty,3.2000000000000000
音,Xを搾り出す,comprehensibility,2.6000000000000000
岩,Xが漏れる,metaphoricity,2.5000000000000000
泥,Xを撒き散らす,comprehensibility,3.7000000000000000
快楽,Xが流れる,metaphoricity,2.5000000000000000
勇気,Xが湧く,novelty,0.10000000000000000000
油,Xが淀む,comprehensibility,3.1000000000000000
感情,Xを飲む,comprehensibility,2.4000000000000000
声,Xを撒く,comprehensibility,1.1000000000000000
羞恥心,Xが流れる,metaphoricity,1.5000000000000000
砂,Xがしみる,novelty,3.5000000000000000
悲しみ,Xがこぼれる,novelty,1.9000000000000000
怒り,Xに浸す,comprehensibility,0.40000000000000000000
アリ,Xが満ちる,metaphoricity,2.1000000000000000
におい,Xに漬かる,novelty,2.8000000000000000
におい,Xが澄む,metaphoricity,2.2000000000000000
嫉妬,Xを垂らす,metaphoricity,2.0000000000000000
理解,Xが満ちる,novelty,3.1000000000000000
情報,Xに溺れる,metaphoricity,3.0000000000000000
喜び,Xが漏れる,comprehensibility,1.7000000000000000
気持ち,Xが沸騰する,comprehensibility,3.0000000000000000
不満,Xを撒く,novelty,1.9000000000000000
羞恥心,Xを飲む,novelty,2.7000000000000000
楽しさ,Xを注ぐ,comprehensibility,2.0000000000000000
光,Xを浴びせる,metaphoricity,0.90000000000000000000
油,Xをかける,comprehensibility,3.5000000000000000
快楽,Xを飲む,novelty,3.0000000000000000
睡眠,Xに溺れる,metaphoricity,2.9000000000000000
羞恥心,Xを汲み取る,comprehensibility,2.7000000000000000
嫉妬,Xを注ぐ,comprehensibility,1.4000000000000000
意図,Xに溺れる,comprehensibility,1.6000000000000000
快楽,Xを汲み取る,comprehensibility,1.8000000000000000
勇気,Xをかける,novelty,3.1000000000000000
時間,Xが濁る,comprehensibility,0.40000000000000000000
空気,Xが沸騰する,comprehensibility,1.3000000000000000
におい,Xを撒き散らす,metaphoricity,0.80000000000000000000
不満,Xがしみる,novelty,2.6000000000000000
楽しさ,Xを垂らす,metaphoricity,2.4000000000000000
絶望,Xですすぐ,comprehensibility,0.50000000000000000000
言葉,Xを啜る,novelty,3.8000000000000000
不安,Xが沸騰する,metaphoricity,2.3000000000000000
勇気,Xに浸す,metaphoricity,2.0000000000000000
油,Xが湧く,comprehensibility,2.8000000000000000
声,Xがほとばしる,metaphoricity,2.5000000000000000
労働,Xがしみる,comprehensibility,1.2000000000000000
勇気,Xが淀む,novelty,3.3000000000000000
水,Xを浴びせる,novelty,0.40000000000000000000
情熱,Xに浸る,comprehensibility,2.0000000000000000
アリ,Xに浮く,comprehensibility,0.80000000000000000000
感情,Xを汲み取る,novelty,0.10000000000000000000
不安,Xが漏れる,novelty,2.1000000000000000
希望,Xですすぐ,metaphoricity,1.6000000000000000
悲しみ,Xに浸る,metaphoricity,2.1000000000000000
金銭,Xに溺れる,metaphoricity,3.1000000000000000
愛,Xが濁る,novelty,3.0000000000000000
勇気,Xに沈む,novelty,3.4000000000000000
労働,Xがほとばしる,metaphoricity,1.1000000000000000
安心,Xを飲む,comprehensibility,0.40000000000000000000
泥,Xが澄む,comprehensibility,1.1000000000000000
声,Xがしみる,comprehensibility,2.0000000000000000
砂,Xを撒く,novelty,0.90000000000000000000
理解,Xを撒く,novelty,3.7000000000000000
アリ,Xを撒く,metaphoricity,0.70000000000000000000
言葉,Xが澄む,novelty,2.5000000000000000
言葉,Xに漬かる,metaphoricity,1.8000000000000000
水,Xが渦巻く,novelty,0.80000000000000000000
愛,Xに浸す,comprehensibility,1.8000000000000000
光,Xを搾り出す,novelty,3.7000000000000000
不満,Xが満ちる,novelty,1.8000000000000000
ケーキ,Xが溜まる,metaphoricity,0.70000000000000000000
気持ち,Xに浸る,novelty,1.8000000000000000
楽しさ,Xを汲み取る,novelty,2.7000000000000000
油,Xが溢れる,novelty,0.50000000000000000000
喜び,Xに浸る,metaphoricity,2.0000000000000000
時間,Xをかける,metaphoricity,0.50000000000000000000
空気,Xがこぼれる,metaphoricity,2.4000000000000000
嫉妬,Xを飲む,comprehensibility,0.30000000000000000000
安心,Xを注ぐ,comprehensibility,2.0000000000000000
感情,Xを垂らす,metaphoricity,1.9000000000000000
労働,Xが満ちる,comprehensibility,0.90000000000000000000
時間,Xに沈む,metaphoricity,2.9000000000000000
怒り,Xが溢れる,metaphoricity,2.3000000000000000
光,Xが溜まる,metaphoricity,2.4000000000000000
情報,Xが滴る,metaphoricity,2.9000000000000000
泥,Xを啜る,comprehensibility,2.4000000000000000
ケーキ,Xを搾り出す,novelty,3.2000000000000000
不安,Xがこぼれる,comprehensibility,2.4000000000000000
快楽,Xが流れ出る,metaphoricity,2.6000000000000000
時間,Xに浸す,novelty,3.3000000000000000
意図,Xが滲む,novelty,1.6000000000000000
憎悪,Xですすぐ,metaphoricity,2.8000000000000000
時間,Xが淀む,metaphoricity,3.2000000000000000
羞恥心,Xが流れ出る,metaphoricity,2.5000000000000000
岩,Xに浸る,comprehensibility,0.70000000000000000000
声,Xが満ちる,comprehensibility,2.8000000000000000
感情,Xを注ぐ,comprehensibility,2.7000000000000000
安心,Xを垂らす,metaphoricity,2.4000000000000000
時間,Xが湧く,metaphoricity,2.8000000000000000
悲しみ,Xが漏れる,comprehensibility,1.9000000000000000
意図,Xが滴る,comprehensibility,0.90000000000000000000
恐怖,Xを搾り出す,comprehensibility,2.0000000000000000
睡眠,Xが滴る,metaphoricity,1.7000000000000000
光,Xが渦巻く,metaphoricity,2.6000000000000000
情熱,Xが沸騰する,novelty,2.7000000000000000
情熱,Xが漏れる,metaphoricity,1.7000000000000000
砂,Xが満ちる,novelty,2.7000000000000000
水,Xを搾り出す,metaphoricity,0.90000000000000000000
怒り,Xが濁る,novelty,3.3000000000000000
アリ,Xがしみる,metaphoricity,0.80000000000000000000
快楽,Xを注ぐ,novelty,2.8000000000000000
理解,Xがしみる,novelty,3.8000000000000000
勇気,Xが溢れる,comprehensibility,3.7000000000000000
羞恥心,Xを注ぐ,novelty,3.5000000000000000
言葉,Xを撒き散らす,novelty,2.3000000000000000
楽しさ,Xを飲む,comprehensibility,0.90000000000000000000
ケーキ,Xが渦巻く,metaphoricity,1.2000000000000000
嫉妬,Xを汲み取る,novelty,3.4000000000000000
労働,Xに浮く,metaphoricity,1.1000000000000000
油,Xが濁る,metaphoricity,0.70000000000000000000
におい,Xを啜る,metaphoricity,2.2000000000000000
空気,Xに浸る,novelty,1.8000000000000000
声,Xに浮く,metaphoricity,2.0000000000000000
金銭,Xが滴る,metaphoricity,2.5000000000000000
喜び,Xがこぼれる,novelty,2.6000000000000000
気持ち,Xがこぼれる,metaphoricity,2.8000000000000000
アリ,Xがほとばしる,comprehensibility,0.30000000000000000000
水,Xが溜まる,novelty,0.40000000000000000000
光,Xが流れ出る,novelty,2.5000000000000000
水,Xを注ぐ,novelty,0.50000000000000000000
労働,Xですすぐ,metaphoricity,1.8000000000000000
悲しみ,Xに漬かる,comprehensibility,3.3000000000000000
時間,Xに溺れる,comprehensibility,1.6000000000000000
希望,Xがほとばしる,metaphoricity,1.1000000000000000
泥,Xに浸る,novelty,3.0000000000000000
睡眠,Xが濁る,metaphoricity,1.5000000000000000
意図,Xが濁る,comprehensibility,2.0000000000000000
ケーキ,Xを垂らす,comprehensibility,0.60000000000000000000
憎悪,Xが満ちる,comprehensibility,3.0000000000000000
怒り,Xが滴る,novelty,3.4000000000000000
希望,Xがしみる,comprehensibility,0.70000000000000000000
情報,Xが溢れる,novelty,1.1000000000000000
羞恥心,Xが溜まる,novelty,3.6000000000000000
声,Xですすぐ,metaphoricity,1.9000000000000000
岩,Xを啜る,novelty,4.0000000000000000
情熱,Xが澄む,novelty,3.4000000000000000
情熱,Xに漬かる,metaphoricity,2.6000000000000000
快楽,Xが溜まる,novelty,3.2000000000000000
油,Xが滴る,metaphoricity,1.00000000000000000000
嫉妬,Xを浴びせる,comprehensibility,1.2000000000000000
安心,Xが渦巻く,comprehensibility,1.7000000000000000
音,Xが流れる,comprehensibility,3.8000000000000000
勇気,Xが滲む,metaphoricity,2.0000000000000000
絶望,Xがほとばしる,comprehensibility,1.4000000000000000
光,Xを垂らす,comprehensibility,1.4000000000000000
気持ち,Xを啜る,comprehensibility,1.2000000000000000
絶望,Xがしみる,metaphoricity,2.0000000000000000
羞恥心,Xを搾り出す,metaphoricity,1.3000000000000000
金銭,Xが濁る,metaphoricity,2.4000000000000000
愛,Xに溺れる,novelty,0.10000000000000000000
におい,Xがこぼれる,comprehensibility,1.9000000000000000
感情,Xが溜まる,comprehensibility,2.6000000000000000
ケーキ,Xが流れ出る,novelty,3.8000000000000000
快楽,Xを搾り出す,metaphoricity,2.5000000000000000
言葉,Xが漏れる,metaphoricity,2.8000000000000000
感情,Xが渦巻く,comprehensibility,3.7000000000000000
恐怖,Xが流れ出る,comprehensibility,1.9000000000000000
言葉,Xが沸騰する,novelty,4.0000000000000000
金銭,Xが溢れる,novelty,1.8000000000000000
光,Xを注ぐ,metaphoricity,2.1000000000000000
水,Xが流れ出る,metaphoricity,0.20000000000000000000
楽しさ,Xを浴びせる,comprehensibility,1.7000000000000000
空気,Xを啜る,comprehensibility,0.80000000000000000000
絶望,Xを撒く,metaphoricity,2.1000000000000000
憎悪,Xに浮く,metaphoricity,2.4000000000000000
安心,Xが溜まる,comprehensibility,1.5000000000000000
情報,Xが濁る,metaphoricity,2.7000000000000000
泥,Xがこぼれる,metaphoricity,0.50000000000000000000
ネコ,Xが満ちる,novelty,3.7000000000000000
快楽,Xが渦巻く,novelty,2.8000000000000000
怒り,Xが滲む,comprehensibility,3.1000000000000000
ケーキ,Xを注ぐ,metaphoricity,0.40000000000000000000
羞恥心,Xが渦巻く,novelty,2.5000000000000000
希望,Xを撒く,comprehensibility,1.8000000000000000
情熱,Xを撒き散らす,novelty,2.6000000000000000
不安,Xを啜る,metaphoricity,2.0000000000000000
恐怖,Xを垂らす,novelty,3.4000000000000000
音,Xを汲み取る,metaphoricity,3.2000000000000000
睡眠,Xが溢れる,novelty,3.3000000000000000
意図,Xが湧く,metaphoricity,2.3000000000000000
時間,Xが滴る,comprehensibility,0.50000000000000000000
空気,Xが澄む,comprehensibility,3.9000000000000000
アリ,Xですすぐ,comprehensibility,0.60000000000000000000
睡眠,Xが湧く,comprehensibility,0.80000000000000000000
音,Xが流れ出る,comprehensibility,3.3000000000000000
快楽,Xを浴びせる,novelty,3.0000000000000000
情報,Xに沈む,comprehensibility,1.8000000000000000
光,Xを飲む,metaphoricity,3.0000000000000000
気持ち,Xを撒き散らす,comprehensibility,1.8000000000000000
羞恥心,Xを浴びせる,novelty,3.0000000000000000
怒り,Xに溺れる,novelty,2.7000000000000000
情報,Xが淀む,comprehensibility,2.2000000000000000
希望,Xに浮く,metaphoricity,1.00000000000000000000
ケーキ,Xが流れる,novelty,2.9000000000000000
光,Xが流れる,novelty,1.9000000000000000
感情,Xを浴びせる,comprehensibility,2.3000000000000000
油,Xに溺れる,metaphoricity,3.0000000000000000
ネコ,Xがしみる,novelty,3.8000000000000000
岩,Xを撒き散らす,novelty,1.8000000000000000
不安,Xに漬かる,novelty,3.2000000000000000
水,Xを汲み取る,comprehensibility,4.0000000000000000
不安,Xが澄む,metaphoricity,2.0000000000000000
恐怖,Xを汲み取る,metaphoricity,1.4000000000000000
情報,Xをかける,comprehensibility,0.50000000000000000000
憎悪,Xを撒く,comprehensibility,2.6000000000000000
楽しさ,Xが渦巻く,comprehensibility,1.9000000000000000
金銭,Xが湧く,comprehensibility,2.4000000000000000
ケーキ,Xを飲む,metaphoricity,1.00000000000000000000
音,Xを垂らす,novelty,3.1000000000000000
泥,Xが沸騰する,comprehensibility,1.5000000000000000
絶望,Xに浮く,comprehensibility,0.90000000000000000000
嫉妬,Xが溜まる,comprehensibility,2.0000000000000000
愛,Xが滴る,novelty,2.6000000000000000
嫉妬,Xが渦巻く,comprehensibility,2.9000000000000000
ネコ,Xを撒く,novelty,3.6000000000000000
金銭,Xが淀む,comprehensibility,1.1000000000000000
安心,Xを浴びせる,comprehensibility,1.1000000000000000
不安,Xを撒き散らす,metaphoricity,1.8000000000000000
岩,Xが澄む,novelty,3.4000000000000000
愛,Xが滲む,comprehensibility,1.8000000000000000
岩,Xに漬かる,metaphoricity,2.5000000000000000
憎悪,Xがほとばしる,metaphoricity,1.7000000000000000
楽しさ,Xが溜まる,comprehensibility,1.3000000000000000
情熱,Xを啜る,novelty,3.1000000000000000
