metric,rank,noun,verb,average
comprehensibility,1,不満,Xが溜まる,4.0
comprehensibility,1,悲しみ,Xが溢れる,4.0
comprehensibility,1,情熱,Xを注ぐ,4.0
comprehensibility,1,情熱,Xが溢れる,4.0
comprehensibility,1,愛,Xに溺れる,4.0
comprehensibility,1,感情,Xを汲み取る,4.0
comprehensibility,1,時間,Xが流れる,4.0
comprehensibility,1,水,Xですすぐ,4.0
comprehensibility,1,水,Xをかける,4.0
comprehensibility,1,水,Xを啜る,4.0
comprehensibility,1,水,Xを撒く,4.0
comprehensibility,1,水,Xを汲み取る,4.0
comprehensibility,1,水,Xが沸騰する,4.0
comprehensibility,1,水,Xが流れる,4.0
comprehensibility,1,水,Xが湧く,4.0
comprehensibility,1,水,Xが溜まる,4.0
comprehensibility,1,水,Xを飲む,4.0
comprehensibility,1,油,Xを搾り出す,4.0
comprehensibility,1,言葉,Xをかける,4.0
comprehensibility,1,音,Xが漏れる,4.0
comprehensibility,21,不満,Xを撒き散らす,3.9
comprehensibility,21,勇気,Xが湧く,3.9
comprehensibility,21,情報,Xが流れる,3.9
comprehensibility,21,気持ち,Xが溢れる,3.9
comprehensibility,21,水,Xがこぼれる,3.9
comprehensibility,21,水,Xに溺れる,3.9
comprehensibility,21,水,Xが漏れる,3.9
comprehensibility,21,油,Xが流れ出る,3.9
comprehensibility,21,油,Xが漏れる,3.9
comprehensibility,21,砂,Xをかける,3.9
comprehensibility,21,砂,Xを撒き散らす,3.9
comprehensibility,21,空気,Xが流れる,3.9
comprehensibility,21,空気,Xが澄む,3.9
comprehensibility,21,言葉,Xを汲み取る,3.9
comprehensibility,21,言葉,Xを浴びせる,3.9
comprehensibility,36,におい,Xが流れ出る,3.8
comprehensibility,36,不満,Xが溢れる,3.8
comprehensibility,36,不満,Xが漏れる,3.8
comprehensibility,36,快楽,Xに溺れる,3.8
comprehensibility,36,感情,Xが流れ出る,3.8
comprehensibility,36,時間,Xをかける,3.8
comprehensibility,36,水,Xに沈む,3.8
comprehensibility,36,水,Xが流れ出る,3.8
comprehensibility,36,水,Xに浮く,3.8
comprehensibility,36,水,Xが満ちる,3.8
comprehensibility,36,水,Xが滴る,3.8
comprehensibility,36,油,Xがこぼれる,3.8
comprehensibility,36,油,Xが流れる,3.8
comprehensibility,36,油,Xに浸す,3.8
comprehensibility,36,泥,Xをかける,3.8
comprehensibility,36,泥,Xが溜まる,3.8
comprehensibility,36,空気,Xが淀む,3.8
comprehensibility,36,音,Xが流れる,3.8
comprehensibility,54,不満,Xを浴びせる,3.7
comprehensibility,54,光,Xが漏れる,3.7
comprehensibility,54,勇気,Xを搾り出す,3.7
comprehensibility,54,勇気,Xが溢れる,3.7
comprehensibility,54,喜び,Xに浸る,3.7
comprehensibility,54,喜び,Xが満ちる,3.7
comprehensibility,54,声,Xをかける,3.7
comprehensibility,54,声,Xが漏れる,3.7
comprehensibility,54,悲しみ,Xを汲み取る,3.7
comprehensibility,54,悲しみ,Xに沈む,3.7
comprehensibility,54,情報,Xを撒く,3.7
comprehensibility,54,情報,Xが漏れる,3.7
comprehensibility,54,情熱,Xをかける,3.7
comprehensibility,54,愛,Xが溢れる,3.7
comprehensibility,54,感情,Xが渦巻く,3.7
comprehensibility,54,憎悪,Xが湧く,3.7
comprehensibility,54,気持ち,Xを汲み取る,3.7
comprehensibility,54,水,Xを注ぐ,3.7
comprehensibility,54,水,Xに浸す,3.7
comprehensibility,54,水,Xが濁る,3.7
comprehensibility,54,油,Xを垂らす,3.7
comprehensibility,54,油,Xが滲む,3.7
comprehensibility,54,泥,Xを撒き散らす,3.7
comprehensibility,54,空気,Xが漏れる,3.7
comprehensibility,54,空気,Xが濁る,3.7
comprehensibility,54,言葉,Xを搾り出す,3.7
comprehensibility,54,言葉,Xを飲む,3.7
comprehensibility,54,音,Xが濁る,3.7
comprehensibility,82,光,Xを浴びせる,3.6
comprehensibility,82,喜び,Xが溢れる,3.6
comprehensibility,82,声,Xを浴びせる,3.6
comprehensibility,82,希望,Xが満ちる,3.6
comprehensibility,82,怒り,Xが湧く,3.6
comprehensibility,82,怒り,Xが溢れる,3.6
comprehensibility,82,悲しみ,Xが渦巻く,3.6
comprehensibility,82,情報,Xが流れ出る,3.6
comprehensibility,82,情報,Xが渦巻く,3.6
comprehensibility,82,情報,Xに溺れる,3.6
comprehensibility,82,愛,Xを注ぐ,3.6
comprehensibility,82,感情,Xがほとばしる,3.6
comprehensibility,82,感情,Xが溢れる,3.6
comprehensibility,82,感情,Xに溺れる,3.6
comprehensibility,82,水,Xを搾り出す,3.6
comprehensibility,82,水,Xを浴びせる,3.6
comprehensibility,82,水,Xが渦巻く,3.6
comprehensibility,82,水,Xが溢れる,3.6
comprehensibility,82,油,Xを注ぐ,3.6
comprehensibility,82,油,Xに浮く,3.6
comprehensibility,82,油,Xが溢れる,3.6
comprehensibility,82,泥,Xを汲み取る,3.6
comprehensibility,82,砂,Xがこぼれる,3.6
comprehensibility,105,におい,Xを撒き散らす,3.5
comprehensibility,105,におい,Xが溜まる,3.5
comprehensibility,105,におい,Xが漏れる,3.5
comprehensibility,105,不安,Xが渦巻く,3.5
comprehensibility,105,不満,Xが渦巻く,3.5
comprehensibility,105,不満,Xが滲む,3.5
