metric,rank,noun,verb,average
metaphoricity,1,kotoba (word),X ga huttou-suru (X boils),3.9
metaphoricity,2,kanjou (emotion),X ni oboreru (Y almost drowns in X),3.8
metaphoricity,3,zetubou (despair),X ga ahureru (X overflows),3.7
metaphoricity,4,oto (sound),X ga simiru (X soaks into Y),3.6
metaphoricity,5,kyouhu (fear),X ga nagarederu (X flows out),3.5
metaphoricity,5,zetubou (despair),X ga koboreru (X spills out),3.5
metaphoricity,5,zetubou (despair),X wo makitirasu (Y sprinkles X),3.5
metaphoricity,5,zetubou (despair),X ga moreru (X leaks),3.5
metaphoricity,5,oto (sound),X wo nomu (Y drinks X),3.5
metaphoricity,10,sitto (envy),X ni oboreru (Y almost drowns in X),3.4
metaphoricity,10,rikai (understanding),X ga nizimu (X oozes),3.4
metaphoricity,10,kuuki (air),X wo kakeru (Y sprays X),3.4
metaphoricity,10,kotoba (word),X ga nizimu (X oozes),3.4
metaphoricity,10,oto (sound),X ga sumu (X gets clear),3.4
metaphoricity,15,yorokobi (delight),X wo tarasu (Y drops X),3.3
metaphoricity,15,ansin (relief),X wo abiseru (Y showers X),3.3
metaphoricity,15,kairaku (pleasure),X ga uzumaku (X whirls),3.3
metaphoricity,15,jikan (time),X ga ahureru (X overflows),3.3
metaphoricity,15,kuuki (air),X ga waku (X gushes out),3.3
metaphoricity,20,sitto (envy),X ga ahureru (X overflows),3.2
metaphoricity,20,ansin (relief),X wo maku (Y scatters X),3.2
metaphoricity,20,kyouhu (fear),X ni oboreru (Y almost drowns in X),3.2
metaphoricity,20,kanasimi (sorrow),X ga sumu (X gets clear),3.2
metaphoricity,20,kanjou (emotion),X ga huttou-suru (X boils),3.2
metaphoricity,20,kanjou (emotion),X wo sosogu (Y pours X),3.2
metaphoricity,20,jikan (time),X ga yodomu (X gets stagnant),3.2
metaphoricity,20,kotoba (word),X wo susuru (Y sips X),3.2
metaphoricity,20,oto (sound),X wo kumitoru (Y scoops up X),3.2
metaphoricity,29,hikari (light),X ga huttou-suru (X boils),3.1
metaphoricity,29,koe (voice),X ni sizumu (Y sinks into X),3.1
metaphoricity,29,iwa (rock),X ga sitataru (X drips),3.1
metaphoricity,29,kairaku (pleasure),X ni sizumu (Y sinks into X),3.1
metaphoricity,29,ikari (anger),X ga koboreru (X spills out),3.1
metaphoricity,29,kyouhu (fear),X ni sizumu (Y sinks into X),3.1
metaphoricity,29,kanasimi (sorrow),X ga nagareru (X flows),3.1
metaphoricity,29,kanasimi (sorrow),X ni oboreru (Y almost drowns in X),3.1
metaphoricity,29,jouhou (information),X ga uzumaku (X whirls),3.1
metaphoricity,29,ai (love),X de susugu (Y rinses Z with X),3.1
metaphoricity,29,ai (love),X wo tarasu (Y drops X),3.1
metaphoricity,29,ai (love),X ni uku (Y floats on X),3.1
metaphoricity,29,doro (mud),X wo susuru (Y sips X),3.1
metaphoricity,29,rikai (understanding),X ga hotobasiru (X spurts),3.1
metaphoricity,29,rikai (understanding),X ga huttou-suru (X boils),3.1
metaphoricity,29,rikai (understanding),X ga sitataru (X drips),3.1
metaphoricity,29,kuuki (air),X ga simiru (X soaks into Y),3.1
metaphoricity,29,kuuki (air),X ni sizumu (Y sinks into X),3.1
metaphoricity,29,kuuki (air),X ni hitasu (Y dips Z in X),3.1
metaphoricity,29,zetubou (despair),X ga tamaru (X gets collected),3.1
metaphoricity,29,kinsen (money),X de susugu (Y rinses Z with X),3.1
metaphoricity,29,kinsen (money),X ni oboreru (Y almost drowns in X),3.1
metaphoricity,51,human (complaint),X ni oboreru (Y almost drowns in X),3.0
metaphoricity,51,hikari (light),X ga koboreru (X spills out),3.0
metaphoricity,51,hikari (light),X wo nomu (Y drinks X),3.0
metaphoricity,51,koe (voice),X ga nizimu (X oozes),3.0
metaphoricity,51,sitto (envy),X ni hitaru (Y soaks in X),3.0
metaphoricity,51,iwa (rock),X ga ahureru (X overflows),3.0
metaphoricity,51,iwa (rock),X ga nizimu (X oozes),3.0
metaphoricity,51,kibou (hope),X ga nagareru (X flows),3.0
metaphoricity,51,kairaku (pleasure),X ni uku (Y floats on X),3.0
metaphoricity,51,ikari (anger),X wo susuru (Y sips X),3.0
metaphoricity,51,kyouhu (fear),X ga huttou-suru (X boils),3.0
metaphoricity,51,kanasimi (sorrow),X ni sizumu (Y sinks into X),3.0
metaphoricity,51,kanasimi (sorrow),X ga nagarederu (X flows out),3.0
metaphoricity,51,jouhou (information),X wo tarasu (Y drops X),3.0
metaphoricity,51,jouhou (information),X ga waku (X gushes out),3.0
metaphoricity,51,jouhou (information),X ni oboreru (Y almost drowns in X),3.0
metaphoricity,51,ai (love),X ga sitataru (X drips),3.0
metaphoricity,51,ai (love),X ni tukaru (Y gets submerged in X),3.0
metaphoricity,51,kanjou (emotion),X wo susuru (Y sips X),3.0
metaphoricity,51,kanjou (emotion),X wo abiseru (Y showers X),3.0
metaphoricity,51,kanjou (emotion),X wo nomu (Y drinks X),3.0
metaphoricity,51,jikan (time),X wo abiseru (Y showers X),3.0
metaphoricity,51,jikan (time),X ni tukaru (Y gets submerged in X),3.0
metaphoricity,51,jikan (time),X ga nigoru (X gets cloudy),3.0
metaphoricity,51,kimoti (feeling),X ga huttou-suru (X boils),3.0
metaphoricity,51,abura (oil),X ni oboreru (Y almost drowns in X),3.0
metaphoricity,51,syutisin (shame),X de susugu (Y rinses Z with X),3.0
metaphoricity,51,syutisin (shame),X ga koboreru (X spills out),3.0
metaphoricity,51,kotoba (word),X ga waku (X gushes out),3.0
metaphoricity,51,kotoba (word),X wo nomu (Y drinks X),3.0
metaphoricity,51,kinsen (money),X ni uku (Y floats on X),3.0
metaphoricity,51,kinsen (money),X wo nomu (Y drinks X),3.0
metaphoricity,51,oto (sound),X ni tukaru (Y gets submerged in X),3.0
metaphoricity,84,huan (anxiety),X ga sitataru (X drips),2.9
metaphoricity,84,hikari (light),X wo makitirasu (Y sprinkles X),2.9
metaphoricity,84,roudou (labor),X ni hitaru (Y soaks in X),2.9
metaphoricity,84,sitto (envy),X wo sosogu (Y pours X),2.9
metaphoricity,84,ansin (relief),X ga nagarederu (X flows out),2.9
metaphoricity,84,ansin (relief),X ni uku (Y floats on X),2.9
metaphoricity,84,ansin (relief),X ga nigoru (X gets cloudy),2.9
metaphoricity,84,iwa (rock),X ga sumu (X gets clear),2.9
metaphoricity,84,kairaku (pleasure),X ga waku (X gushes out),2.9
metaphoricity,84,ikari (anger),X ni oboreru (Y almost drowns in X),2.9
metaphoricity,84,kyouhu (fear),X wo kakeru (Y sprays X),2.9
metaphoricity,84,kyouhu (fear),X wo sosogu (Y pours X),2.9
metaphoricity,84,kanasimi (sorrow),X wo tarasu (Y drops X),2.9
metaphoricity,84,jouhou (information),X ga sitataru (X drips),2.9
metaphoricity,84,jouhou (information),X ni tukaru (Y gets submerged in X),2.9
metaphoricity,84,ai (love),X ga hotobasiru (X spurts),2.9
metaphoricity,84,ai (love),X wo susuru (Y sips X),2.9
metaphoricity,84,ai (love),X ga huttou-suru (X boils),2.9
metaphoricity,84,ai (love),X ga nagareru (X flows),2.9
metaphoricity,84,ai (love),X ga nizimu (X oozes),2.9
metaphoricity,84,kanjou (emotion),X wo makitirasu (Y sprinkles X),2.9
metaphoricity,84,zouo (hatred),X ni hitasu (Y dips Z in X),2.9
metaphoricity,84,jikan (time),X ni sizumu (Y sinks into X),2.9
