metric,rank,noun,verb,average
metaphoricity,1,言葉,Xが沸騰する,3.9
metaphoricity,2,感情,Xに溺れる,3.8
metaphoricity,3,絶望,Xが溢れる,3.7
metaphoricity,4,音,Xがしみる,3.6
metaphoricity,5,恐怖,Xが流れ出る,3.5
metaphoricity,5,絶望,Xがこぼれる,3.5
metaphoricity,5,絶望,Xを撒き散らす,3.5
metaphoricity,5,絶望,Xが漏れる,3.5
metaphoricity,5,音,Xを飲む,3.5
metaphoricity,10,嫉妬,Xに溺れる,3.4
metaphoricity,10,理解,Xが滲む,3.4
metaphoricity,10,空気,Xをかける,3.4
metaphoricity,10,言葉,Xが滲む,3.4
metaphoricity,10,音,Xが澄む,3.4
metaphoricity,15,喜び,Xを垂らす,3.3
metaphoricity,15,安心,Xを浴びせる,3.3
metaphoricity,15,快楽,Xが渦巻く,3.3
metaphoricity,15,時間,Xが溢れる,3.3
metaphoricity,15,空気,Xが湧く,3.3
metaphoricity,20,嫉妬,Xが溢れる,3.2
metaphoricity,20,安心,Xを撒く,3.2
metaphoricity,20,恐怖,Xに溺れる,3.2
metaphoricity,20,悲しみ,Xが澄む,3.2
metaphoricity,20,感情,Xが沸騰する,3.2
metaphoricity,20,感情,Xを注ぐ,3.2
metaphoricity,20,時間,Xが淀む,3.2
metaphoricity,20,言葉,Xを啜る,3.2
metaphoricity,20,音,Xを汲み取る,3.2
metaphoricity,29,光,Xが沸騰する,3.1
metaphoricity,29,声,Xに沈む,3.1
metaphoricity,29,岩,Xが滴る,3.1
metaphoricity,29,快楽,Xに沈む,3.1
metaphoricity,29,怒り,Xがこぼれる,3.1
metaphoricity,29,恐怖,Xに沈む,3.1
metaphoricity,29,悲しみ,Xが流れる,3.1
metaphoricity,29,悲しみ,Xに溺れる,3.1
metaphoricity,29,情報,Xが渦巻く,3.1
metaphoricity,29,愛,Xですすぐ,3.1
metaphoricity,29,愛,Xを垂らす,3.1
metaphoricity,29,愛,Xに浮く,3.1
metaphoricity,29,泥,Xを啜る,3.1
metaphoricity,29,理解,Xがほとばしる,3.1
metaphoricity,29,理解,Xが沸騰する,3.1
metaphoricity,29,理解,Xが滴る,3.1
metaphoricity,29,空気,Xがしみる,3.1
metaphoricity,29,空気,Xに沈む,3.1
metaphoricity,29,空気,Xに浸す,3.1
metaphoricity,29,絶望,Xが溜まる,3.1
metaphoricity,29,金銭,Xですすぐ,3.1
metaphoricity,29,金銭,Xに溺れる,3.1
metaphoricity,51,不満,Xに溺れる,3.0
metaphoricity,51,光,Xがこぼれる,3.0
metaphoricity,51,光,Xを飲む,3.0
metaphoricity,51,声,Xが滲む,3.0
