metric,rank,noun,verb,average
novelty,1,ari (ant),X ga simiru (X soaks into Y),4.0
novelty,1,neko (cat),X wo siboridasu (Y squeezes X),4.0
novelty,1,neko (cat),X ga nagarederu (X flows out),4.0
novelty,1,nioi (smell),X ni uku (Y floats on X),4.0
novelty,1,roudou (labor),X wo susuru (Y sips X),4.0
novelty,1,roudou (labor),X ga sitataru (X drips),4.0
novelty,1,yuuki (bravery),X ga moreru (X leaks),4.0
novelty,1,iwa (rock),X wo susuru (Y sips X),4.0
novelty,1,zouo (hatred),X de susugu (Y rinses Z with X),4.0
novelty,1,jikan (time),X ga huttou-suru (X boils),4.0
novelty,1,tanosisa (enjoyment),X de susugu (Y rinses Z with X),4.0
novelty,1,tanosisa (enjoyment),X ga sumu (X gets clear),4.0
novelty,1,rikai (understanding),X ga huttou-suru (X boils),4.0
novelty,1,suimin (sleep),X de susugu (Y rinses Z with X),4.0
novelty,1,suimin (sleep),X ni uku (Y floats on X),4.0
novelty,1,kotoba (word),X de susugu (Y rinses Z with X),4.0
novelty,1,kotoba (word),X ga huttou-suru (X boils),4.0
novelty,18,ari (ant),X ga moreru (X leaks),3.9
novelty,18,neko (cat),X ga hotobasiru (X spurts),3.9
novelty,18,neko (cat),X wo makitirasu (Y sprinkles X),3.9
novelty,18,neko (cat),X ga sumu (X gets clear),3.9
novelty,18,neko (cat),X ga nigoru (X gets cloudy),3.9
novelty,18,huan (anxiety),X ni uku (Y floats on X),3.9
novelty,18,roudou (labor),X de susugu (Y rinses Z with X),3.9
novelty,18,roudou (labor),X ni uku (Y floats on X),3.9
novelty,18,roudou (labor),X wo nomu (Y drinks X),3.9
novelty,18,yorokobi (delight),X de susugu (Y rinses Z with X),3.9
novelty,18,sitto (envy),X wo maku (Y scatters X),3.9
novelty,18,sitto (envy),X ga yodomu (X gets stagnant),3.9
novelty,18,sitto (envy),X ga nigoru (X gets cloudy),3.9
novelty,18,iwa (rock),X wo nomu (Y drinks X),3.9
novelty,18,ikari (anger),X wo susuru (Y sips X),3.9
novelty,18,kyouhu (fear),X ga nigoru (X gets cloudy),3.9
novelty,18,kanasimi (sorrow),X wo kakeru (Y sprays X),3.9
